"81","1","Warner Bros.","15.6","1377.1","25","19","2005"
"82","2","20th Century Fox","15.3","1353.9","21","18","2005"
"83","3","Universal","11.4","1010.2","24","19","2005"
"84","4","Buena Vista","10.4","921.5","23","17","2005"
"85","5","Sony / Columbia","10.4","917.8","27","24","2005"
"86","6","Paramount","9.4","832.2","17","12","2005"
"87","7","DreamWorks SKG","5.7","501.8","10","9","2005"
"88","8","New Line","4.8","420.5","13","10","2005"
"89","9","Lionsgate","3.2","284.0","20","18","2005"
"90","10","Dimension Films","2.1","185.1","7","6","2005"
"91","1","Sony / Columbia","14.3","1337.6","24","17","2004"
"92","2","Warner Bros.","12.9","1214.2","28","22","2004"
"93","3","Buena Vista","12.4","1159.1","28","20","2004"
"94","4","DreamWorks SKG","10.0","937.1","11","10","2004"
"95","5","20th Century Fox","9.9","930.0","18","14","2004"
"96","6","Universal","9.5","893.4","20","14","2004"
"97","7","Paramount","6.7","628.3","17","14","2004"
"98","8","New Line","4.6","430.2","14","10","2004"
"99","9","Newmarket","4.3","406.7","8","7","2004"
"100","10","Miramax","3.9","368.2","20","13","2004"
"101","1","Buena Vista","16.5","1524.0","29","19","2003"
"102","2","Sony / Columbia","13.0","1197.1","31","24","2003"
"103","3","Warner Bros.","12.8","1178.2","25","20","2003"
"104","4","Universal","11.6","1069.6","18","14","2003"
"105","5","New Line","10.1","934.4","16","13","2003"
"106","6","20th Century Fox","8.4","774.0","20","16","2003"
"107","7","Paramount","7.1","654.1","21","15","2003"
"108","8","Miramax","4.4","407.3","28","19","2003"
"109","9","MGM/UA","4.0","371.4","23","15","2003"
"110","10","Dimension Films","3.1","289.7","6","4","2003"
"111","1","Sony / Columbia","17.2","1571.6","35","31","2002"
"112","2","Buena Vista","13.0","1187.7","28","22","2002"
"113","3","Warner Bros.","11.7","1072.6","35","28","2002"
"114","4","20th Century Fox","10.1","924.7","22","14","2002"
"115","5","Universal","9.5","873.8","20","15","2002"
"116","6","New Line","9.5","871.5","13","10","2002"
"117","7","Paramount","7.4","673.8","25","19","2002"
"118","8","DreamWorks SKG","5.2","479.3","7","7","2002"
"119","9","MGM/UA","4.0","363.1","23","19","2002"
"120","10","Miramax","2.7","245.5","32","24","2002"
"121","1","Warner Bros.","15.1","1224.8","34","27","2001"
"122","2","Universal","11.7","951.5","19","13","2001"
"123","3","Paramount","11.0","891.5","17","14","2001"
"124","4","Buena Vista","10.9","887.8","20","14","2001"
"125","5","20th Century Fox","10.6","862.9","20","16","2001"
"126","6","Sony / Columbia","9.0","729.3","30","25","2001"
"127","7","Miramax","7.5","611.7","34","25","2001"
"128","8","New Line","6.7","546.4","12","9","2001"
"129","9","MGM/UA","5.5","448.3","12","11","2001"
"130","10","DreamWorks SKG","4.9","400.8","11","5","2001"
"131","1","Buena Vista","15.5","1175.6","30","21","2000"
"132","2","Universal","14.1","1069.1","19","13","2000"
"133","3","Warner Bros.","11.9","905.3","28","22","2000"
"134","4","Paramount","10.4","791.1","19","12","2000"
"135","5","DreamWorks SKG","10.3","777.2","12","10","2000"
"136","6","20th Century Fox","9.5","723.3","17","13","2000"
"137","7","Sony / Columbia","9.0","681.5","34","29","2000"
"138","8","New Line","4.9","374.5","16","14","2000"
"139","9","Miramax","4.8","365.3","27","23","2000"
"140","10","Dimension Films","1.5","110.9","2","2","2000"
